,AREALAND,AREAWATER,BASENAME,BLKGRP,BLOCK,CENTLAT,CENTLON,COUNTY,FUNCSTAT,GEOID,HU100,INTPTLAT,INTPTLON,LSADC,LWBLKTYP,MTFCC,NAME,OBJECTID,OID,POP100,STATE,SUFFIX,TRACT,UR,X,Y,city,state,street,zip
0,12686,0,2016,2,2016,+34.0261557,-118.4977664,037,S,060377013022016,86,+34.0261557,-118.4977664,BK,L,G5040,Block 2016,913445,210404056286510,152,06,,701302,,-118.497894,34.02664,Santa Monica,CA,924 9th St,90403
1,22093,0,1011,1,1011,+34.0623915,-118.2452158,037,S,060372071011011,93,+34.0623915,-118.2452158,BK,L,G5040,Block 1011,923435,210404056288550,261,06,,207101,,-118.24623,34.06274,Los Angeles,CA,606 N Figueroa St,90071
