Title,Dismiss,Settlement,Certification,Appeal
Eastman Kodak Company - Securities Class   Action,1,0,0,0
"Magma Design Automation, Inc. - Securities Class   Action",1,1,0,0
Navarre Corporation - Securities Class   Action,1,1,1,0
Ditech Communications Corporation - Securities Class   Action,1,0,0,1
Exide Technologies - Securities Class   Action,1,1,1,0
"Pathmark Stores, Inc. - Securities Class   Action",1,0,0,0
Lazard Ltd. - Securities Class   Action,1,0,0,0
"PEMSTAR, Inc. - Securities Class   Action",1,1,0,0
"Cyberonics, Inc. - Securities Class   Action",1,0,0,1
"ConAgra Foods, Inc. - Securities Class   Action",1,0,0,0
Hilb Rogal & Hobbs Co. - Securities Class   Action,1,0,0,1
Guidant Corporation - Securities Class   Action,1,0,1,0
Maytag Corporation - Securities Class   Action,1,0,0,0
International Business Machines Corporation (IBM) - Securities Class   Action,1,1,1,0
"StarTek, Inc. - Securities Class   Action",1,1,0,0
"Trex Company, Inc. - Securities Class   Action",1,0,0,1
Majesco Entertainment Company - Securities Class   Action,1,1,0,0
Ramp Corporation - Securities Class   Action,1,1,1,0
"Molina Healthcare, Inc. - Securities Class   Action",1,0,0,1
RenaissanceRe Holdings Ltd. - Securities Class   Action,1,1,1,0
"Avon Products, Inc. - Securities Class   Action",1,0,0,0
UBS-AG : UBS Funds and UBS Tier I Funds - Securities Class   Action,1,0,0,0
"Mannatech, Inc. - Securities Class   Action",1,1,0,0
"Cogent Communications Group, Inc. - Securities Class   Action",1,0,0,0
"Prestige Brand Holdings, Inc. - Securities Class   Action",1,1,1,0
Investors Financial Services Corporation - Securities Class   Action,1,0,0,0
"Custom Designed Compressor Systems, Inc. - Securities Class   Action",1,0,0,0
Host America Corporation - Securities Class   Action,1,1,0,0
"Patterson Companies, Inc. - Securities Class   Action",1,0,0,1
"Buca, Inc. - Securities Class   Action",1,1,0,1
"Workstream, Inc. - Securities Class   Action",1,1,1,0
American Italian Pasta Company - Securities Class   Action,1,1,1,0
"Red Robin Gourmet Burgers, Inc. - Securities Class   Action",1,1,1,1
"Anthem, Inc. (n/k/a WellPoint, Inc.) - Securities Class   Action",1,0,1,0
"Symbol Technologies, Inc. - Securities Class   Action",1,1,0,0
ATI Technologies Inc. - Securities Class   Action,1,0,0,1
"Isolagen, Inc. - Securities Class   Action",1,1,1,0
Mercury Interactive Corporation - Securities Class   Action,1,1,0,0
"World Health Alternatives, Inc. - Securities Class   Action",0,1,0,0
"Smith Barney Fund Management, LLC : Smith Barney Family of Funds - Securities Class   Action",1,0,1,1
"Immucor, Inc. - Securities Class   Action",1,1,1,1
Abercrombie & Fitch Company - Securities Class   Action,1,1,1,1
"Arbinet-Thexchange, Inc. - Securities Class   Action",1,0,0,0
TXU Corporation - Securities Class   Action,1,0,1,0
"DHB Industries, Inc. - Securities Class   Action",0,1,1,1
"Hutchinson Technology, Inc. - Securities Class   Action",1,0,0,0
General Motors Corporation - Securities Class   Action,1,1,1,0
Boston Scientific Corporation - Securities Class   Action,1,0,1,1
"Spectrum Brands, Inc. - Securities Class   Action",1,0,0,0
AMERIGROUP Corporation - Securities Class   Action,1,1,1,0
Bayou Hedge Fund Entities : Bayou Hedge Funds - Securities Class   Action,1,0,0,0
Dana Corporation - Securities Class   Action,1,0,1,1
"Tempur-Pedic International, Inc. - Securities Class   Action",1,0,0,0
Andrx Corporation - Securities Class   Action,1,1,1,0
"Barrier Therapeutics, Inc.  - Securities Class   Action",1,0,0,0
"Lernout & Hauspie Speech Products, N.V. - Securities Class   Action",1,0,0,0
