Title,Dismiss,Settlement,Certification,Appeal,Grant
"MoneyGram International, Inc. - Securities Class   Action",1,1,1,0,1
J.P. Morgan Chase & Co. : Auction Rate Securities - Securities Class   Action,1,0,0,0,0
Candela Corporation - Securities Class   Action,1,1,0,0,0
E*TRADE Financial Corporation : Auction Rate Securities - Securities Class   Action,1,0,0,0,1
"SunTrust Banks, Inc. : Auction Rate Securities - Securities Class   Action",1,0,0,0,1
"Merck & Co., Inc. - Securities Class   Action",1,0,1,0,1
ArthroCare Corporation - Securities Class   Action,1,1,1,0,1
Citigroup Alternative Investments LLC : Falcon Strategies Two B LLC Hedge Fund - Securities Class   Action,0,0,0,0,0
Citigroup Mortgage Loan Trust Inc. : Mortgage Pass-Through Certificates and Asset-Backed Pass-Through Certificates - Securities Class   Action,1,0,0,0,1
Raymond James Financial Inc. : Auction Rate Securities - Securities Class   Action,1,0,0,0,1
Inverness Medical Innovations Inc. - Securities Class   Action,1,0,0,1,0
The First Marblehead Corporation - Securities Class   Action,1,0,0,0,1
Agria Corporation - Securities Class   Action,1,1,0,0,1
"Global Cash Access Holdings, Inc. - Securities Class   Action",1,1,0,0,1
Oppenheimer Holdings Inc. : Auction Rate Securities - Securities Class   Action,1,0,0,1,1
Wells Fargo & Company : Auction Rate Securities - Securities Class   Action,1,1,0,0,1
iStar Financial Inc. - Securities Class   Action,1,0,1,0,0
The Blackstone Group L.P. - Securities Class   Action,1,0,1,0,1
Harmony Gold Mining Company Limited - Securities Class   Action,1,1,1,0,1
"The Goldman Sachs Group, Inc. : Auction Rate Securities - Securities Class   Action",1,0,0,0,0
Walgreen Company - Securities Class   Action,1,0,0,0,1
Calamos Global Dynamic Income Fund : Auction Rate Cumulative Preferred Shares - Securities Class   Action,1,0,0,0,0
Credit Suisse Group - Securities Class   Action,1,1,1,0,1
J.P. Morgan Acceptance Corporation - Securities Class   Action,1,0,0,0,1
"Arbitron, Inc. - Securities Class   Action",1,0,0,0,1
Citigroup Global Markets Inc. : MAT Five LLC shares - Securities Class   Action,1,0,0,0,0
"Premium Connections, Inc. (a/k/a PCI Homes Program) - Securities Class   Action",1,0,0,0,1
"Cbeyond, Inc. - Securities Class   Action",1,1,0,0,1
"Huntington Bancshares, Inc. - Securities Class   Action",0,0,0,0,1
MGIC Investment Corporation - Securities Class   Action,1,0,0,1,1
Royal Bank of Canada : Auction Rate Securities - Securities Class   Action,1,0,0,0,1
Downey Financial Corporation - Securities Class   Action,0,0,0,0,1
"Heartland Resources, Inc. - Securities Class   Action",1,0,0,0,1
Citigroup Alternative Investments LLC : Falcon Strategies Two B LLC Hedge Fund - Securities Class   Action,1,0,0,0,0
National City Corporation : Harbor Federal Savings Bank - Securities Class   Action,0,0,0,0,1
"American International Group, Inc. (AIG) - Securities Class   Action",1,0,1,0,0
Bank of America : Auction Rate Securities - Securities Class   Action,1,0,0,0,1
TRM Corporation - Securities Class   Action,1,0,0,0,1
"NexCen Brands, Inc. - Securities Class   Action",1,1,1,0,0
"TomoTherapy, Inc. - Securities Class   Action",1,1,1,0,1
"Gildan Activewear, Inc. - Securities Class   Action",1,1,0,0,1
"The Royal Bank of Scotland Group, PLC/Greenwich Capital Holdings, Inc. :  Harborview Mortgage (HM) Loan Trust, Mortgage Pass-Through Certificates Series 2006-4, Class B1 : HM Loan Trust, Mortgage Pass-Through Certificates Series 2007-7, Class 2A1A - Securities Class   Action",1,0,1,0,1
Fidelity Management & Research Company (FMR) : Fidelity Ultra-Short Bond Fund - Securities Class   Action,1,1,0,0,0
"Healthways, Inc. - Securities Class   Action",1,1,1,0,1
Universal Food and Beverage Company - Securities Class   Action,1,1,0,0,1
Franklin Bank Corporation - Securities Class   Action,1,0,0,0,1
Wachovia Corporation - Securities Class   Action,1,0,0,0,0
"IndyMac Bancorp, Inc. : Option ARM - Securities Class   Action",1,1,0,1,1
European Aeronautic Defence & Space Company (EADS) - Securities Class   Action,1,0,0,1,0
Safeco Corporation - Securities Class   Action,0,1,0,0,0
"Fifth Third Bancorp : Common Stock, Preferred B Shares and Preferred C Shares - Securities Class   Action",1,1,0,0,1
Evergreen Investment Management Company: Evergreen Ultra Short Opportunities Fund - Securities Class   Action,1,1,1,0,1
First American Corporation - Securities Class   Action,1,0,1,0,1
Home Equity Mortgage Trust - Securities Class   Action,1,0,1,0,1
Sonoco Products Company - Securities Class   Action,1,1,1,0,1
Absolute Capital Management Holdings - Securities Class   Action,1,0,0,0,0
State Street Corporation: SSgA Yield Plus Fund - Securities Class   Action,1,0,0,0,1
"Fimalac, S.A. - Securities Class   Action",1,0,0,0,0
"Penn National Gaming, Inc. - Securities Class   Action",1,0,0,0,1
"MRV Communications, Inc. - Securities Class   Action",0,1,1,0,1
CompuCredit Corporation - Securities Class   Action,1,0,0,0,1
"FCStone Group, Inc. - Securities Class   Action",1,0,0,0,1
Archstone-Smith Operating Trust : A-1 Units - Securities Class   Action,1,0,0,0,0
"Hexion Specialty Chemicals, Inc. : Huntsman Corporation common stock - Securities Class   Action",0,1,0,0,0
"SemGroup Energy Partners, L.P. - Securities Class   Action",1,0,0,1,1
"CIT Group, Inc. - Securities Class   Action",1,1,1,0,1
MFS Investment Management - Securities Class   Action,1,0,0,0,1
"Lehman Brothers, Inc. : Mortgage Pass-Through Certificates - Securities Class   Action",1,0,1,1,1
General Electric Company - Securities Class   Action,1,0,0,1,1
"Inyx, Inc. - Securities Class   Action",1,0,1,1,1
"MF Global, Ltd. - Securities Class   Action",1,0,0,0,1
"GT Solar International, Inc. - Securities Class   Action",1,0,0,0,0
Deutsche Alt-A Securities Incorporated : Mortgage Pass-Through Certificates - Securities Class   Action,1,0,1,0,1
"Zimmer Holdings, Inc. - Securities Class   Action",1,0,0,1,1
"CarMax, Inc. - Securities Class   Action",1,0,0,0,1
"KKR Financial Holdings, LLC - Securities Class   Action",1,0,0,0,1
"NovaGold Resources, Inc. - Securities Class   Action",1,1,1,0,1
"Reddy Ice Holdings, Inc. - Securities Class   Action",1,0,1,0,1
Stifel Financial Corporation : Auction Rate Securities - Securities Class   Action,1,0,0,0,1
Fifth Third Bancorp: First Charter Acquisition - Securities Class   Action,0,0,0,0,1
Federal Home Loan Mortgage Corporation (Freddie Mac) - Securities Class   Action,1,0,0,0,1
Perini Corporation - Securities Class   Action,1,0,0,0,1
"Washington Mutual, Inc. : WM Group of Funds - Securities Class   Action",1,0,0,0,1
"China Shenghuo Pharmaceutical Holdings, Inc. - Securities Class   Action",1,0,0,0,0
Charles Schwab & Co. Inc. : The Schwab Total Bond Market Fund  - Securities Class   Action,1,0,1,1,1
"Signalife, Inc. - Securities Class   Action",1,1,1,0,1
Quest Resource Corporation - Securities Class   Action,0,1,0,0,1
"Synchronoss Technologies, Inc. - Securities Class   Action",1,0,0,0,1
Federal National Mortgage Association (Fannie Mae) - Securities Class   Action,1,0,1,0,1
NVIDIA Corporation - Securities Class   Action,1,0,0,0,1
Hansen Natural Corporation - Securities Class   Action,0,0,0,0,1
"Lord, Abbett & Co. LLC - Securities Class   Action",1,0,0,0,1
State Street Corporation: SSgA Intermediate Fund - Securities Class   Action,1,0,0,0,1
"First Trust Portfolios, L.P. : First Trust Strategic High Income Fund - Securities Class   Action",1,1,1,0,1
"Harris Stratex Networks, Inc. - Securities Class   Action",1,1,1,0,1
"Novatel Wireless, Inc. - Securities Class   Action",1,1,1,0,1
BankUnited Financial Corporation - Securities Class   Action,1,1,1,0,1
"MEMC Electronic Materials, Inc. - Securities Class   Action",1,0,0,1,1
"NextWave Wireless, Inc. - Securities Class   Action",1,1,0,0,1
Northern Trust Corporation : Auction Rate Securities - Securities Class   Action,1,0,0,0,1
The Reserve Primary Fund - Securities Class   Action,1,0,0,0,1
Bear Stearns Mortgage Loan Pass-Through Certificates : Series 2006-AR1 Groups I and II - Securities Class   Action,0,0,0,0,1
Canadian Imperial Bank of Commerce (CIBC) - Securities Class   Action,1,0,0,0,1
"Carter's, Inc. - Securities Class   Action",1,1,0,0,1
Oshkosh Corporation - Securities Class   Action,1,0,0,0,1
"Constellation Energy Group, Inc. - Securities Class   Action",1,0,1,0,1
"Federal Home Loan Mortgage Corporation (Freddie Mac) :Underwriters Of 8.375% Non-Cumulative Perpetual Preferred Stock, Series Z  - Securities Class   Action",0,0,0,0,0
The Spectranetics Corporation - Securities Class   Action,1,0,0,0,1
"H&R Block, Inc. : Auction Rate Securities - Securities Class   Action",1,0,0,0,0
National City Corporation - Securities Class   Action,1,1,0,0,1
Cano Petroleum Inc. - Securities Class   Action,1,0,0,0,1
General Electric Company - Securities Class   Action,1,0,0,1,1
Medicis Pharmaceutical Corporation - Securities Class   Action,1,0,0,0,1
"Integrity Bancshares, Inc. - Securities Class   Action",1,0,0,0,0
Biovail Corporation - Securities Class   Action,1,0,0,1,1
"AuthenTec, Inc. - Securities Class   Action",1,0,0,0,1
Elan Corporation PLC - Securities Class   Action,1,0,0,0,1
"Residential Accredit Loans, lnc. : RALl Mortgage Asset-Backed Pass-Through Certificates - Securities Class   Action",1,0,1,0,1
Fortis - Securities Class   Action,1,0,0,0,0
"Merrill Lynch & Co., Inc. - Securities Class   Action",1,1,0,0,0
"Noah Education Holdings, Ltd. - Securities Class   Action",1,1,0,0,1
"Thornburg Mortgage, Inc. : Series C, D, E or F Preferred Stock - Securities Class   Action",1,0,0,0,0
"Cadence Design Systems, Inc. - Securities Class   Action",1,1,0,0,1
Hardinge Inc. - Securities Class   Action,1,0,0,0,1
Pilgrim's Pride Corporation - Securities Class   Action,0,0,0,0,1
"General Growth Properties, Inc. - Securities Class   Action",1,0,0,0,0
Citigroup Inc. : Bonds and Preferred Stock - Securities Class   Action,1,1,1,0,1
Sadia S.A. - Securities Class   Action,1,1,1,0,1
Britannia Bulk Holdings Inc. - Securities Class   Action,1,0,0,0,1
Daktronics Inc. - Securities Class   Action,1,0,0,0,1
"Anadigics, Inc. - Securities Class   Action",0,0,0,0,1
Internap Network Services Corporation - Securities Class   Action,1,0,0,0,1
Waters Corporation - Securities Class   Action,1,0,0,1,0
Taleo Corporation - Securities Class   Action,1,0,0,0,0
McDermott International Inc. - Securities Class   Action,1,0,0,0,1
"PharmaNet Development Group, Inc. - Securities Class   Action",1,0,0,0,0
"VMware, Inc. - Securities Class   Action",1,0,0,0,0
Reserve Short-Term Investment Trust : Reserve Yield Plus Fund - Securities Class   Action,1,0,0,0,1
"Savient Pharmaceuticals, Inc. - Securities Class   Action",1,0,0,0,0
Aracruz Cellulose S.A. - Securities Class   Action,1,1,0,0,1
National City Corporation - Securities Class   Action,1,0,0,0,0
SouthWest Water Company - Securities Class   Action,1,0,0,0,1
"SpaceDev, Inc. - Securities Class   Action",1,0,0,0,0
KV Pharmaceutical Company - Securities Class   Action,1,0,0,0,1
"JA Solar Holdings Co., Ltd. - Securities Class   Action",1,1,0,0,1
Federal Agricultural Mortgage Corporation (Farmer Mac) - Securities Class   Action,1,0,0,0,1
"Constellation Energy Group, Inc. - Securities Class   Action",1,0,0,0,1
Crystallex International Corporation - Securities Class   Action,1,0,0,1,1
"Residential Asset Securitization Trust 2006-A8 : Senior Mortgage Pass-Through Certificates, Series 2006-H - Securities Class   Action",1,0,1,1,1
"Medtronic, Inc. - Securities Class   Action",1,1,1,0,0
GS Mortgage Securities Corporation : Mortgage Pass-Through Certificates or Asset-Backed Certificates - Securities Class   Action,1,0,0,1,1
"AtriCure, Inc. - Securities Class   Action",1,1,0,0,1
"Bernard L. Madoff Investment Securities, LLC - Securities Class   Action",0,0,0,0,0
CBS Corporation - Securities Class   Action,1,0,0,1,1
"China Organic Agriculture, Inc. - Securities Class   Action",0,0,0,0,1
Credit-Based Asset Servicing and Securitization LLC : C-BASS 2007-CB4 Trust Certificates - Securities Class   Action,1,0,1,0,1
"GSI Group, Inc. - Securities Class   Action",1,1,1,0,1
American Capital Ltd. - Securities Class   Action,1,1,1,0,1
Bernard L. Madoff Investment Securities - Securities Class   Action,0,0,0,0,0
"Integral Systems, Inc. - Securities Class   Action",1,0,0,0,1
"Ascot Partners, L.P. and Gabriel Capital, L.P. - Securities Class   Action",1,0,0,0,1
"Tremont Group Holdings, Inc. - Securities Class   Action",1,1,0,0,1
Emcore Corporation - Securities Class   Action,1,0,0,0,1
Family Management Corporation - Securities Class   Action,1,0,0,1,1
National City Corporation : 4.0% Convertible Senior Notes Offering - Securities Class   Action,1,1,0,0,1
"Ambac Financial Group, Inc. - Securities Class   Action",1,1,0,0,0
"A Creative Capital Concept, LLC and Creative Capital Consortium, LLC - Securities Class   Action",0,0,0,0,1
Australia and New Zealand Banking Group Limited - Securities Class   Action,1,0,0,0,1
"Horizon Lines, Inc. - Securities Class   Action",1,0,0,1,1
Morgan Stanley Capital I Inc. : Mortgage Pass-Through Certificates - Securities Class   Action,1,0,1,0,1
