Title,Dismiss,Settlement,Certification,Appeal,Grant
Comcast Corporation - Securities Class   Action,1,0,0,0,1
"International Coal Group, Inc. - Securities Class   Action",1,1,0,0,0
"Interactive Brokers Group, Inc. - Securities Class   Action",1,0,0,0,1
"MBIA, Inc. - Securities Class   Action",1,1,0,0,1
Cellcyte Genetics Corporation - Securities Class   Action,1,0,0,0,1
"Nexstar Communications, LLC and Other Defendant Entities - Securities Class   Action",1,1,1,0,1
"ShoreTel, Inc. - Securities Class   Action",1,1,0,0,1
"Ambac Financial Group, Inc. - Securities Class   Action",1,1,0,0,1
Centerline Holding Company - Securities Class   Action,1,0,0,1,1
Schering-Plough Corporation - Securities Class   Action,1,0,0,0,1
"WCI Communities, Inc. - Securities Class   Action",0,0,0,0,0
National City Corporation - Securities Class   Action,1,1,0,0,1
"American Dental Partners, Inc. - Securities Class   Action",0,1,0,0,1
Levitt Corporation - Securities Class   Action,1,1,1,0,1
Panera Bread Company - Securities Class   Action,1,1,0,0,1
"TeleTech Holdings, Inc. - Securities Class   Action",0,1,0,0,0
"SunOpta, Inc. - Securities Class   Action",1,1,1,0,1
"Municipal Mortgage & Equity, LLC - Securities Class   Action",1,0,0,0,1
SLM Corporation (a/k/a Sallie Mae) - Securities Class   Action,1,1,0,0,1
"Maxim Integrated Products, Inc. - Securities Class   Action",1,1,1,0,1
"SiRF Technology Holdings, Inc. - Securities Class   Action",1,1,0,0,1
"Orion Energy Systems, Inc. - Securities Class   Action",1,0,1,0,1
Morgan Stanley - Securities Class   Action,1,0,0,0,1
Charys Holding Company - Securities Class   Action,1,0,0,0,1
"Opnext, Inc. - Securities Class   Action",1,1,0,0,1
Lehman Brothers Holdings Inc. :  Equity and Debt Securities - Securities Class   Action,1,1,0,0,0
Swiss Reinsurance Company - Securities Class   Action,1,0,0,0,1
"Superior Offshore International, Inc. - Securities Class   Action",1,1,1,1,1
Wachovia Corporation - Securities Class   Action,1,1,0,0,1
"EnerNOC, Inc. - Securities Class   Action",1,0,1,0,0
"The Maximum Financial Group, Inc. - Securities Class   Action",1,0,1,0,1
"MF Global, Ltd. - Securities Class   Action",1,1,0,1,1
Camtek Ltd. - Securities Class   Action,1,0,0,0,1
"Force Protection, Inc. - Securities Class   Action",1,1,1,0,1
Societe Generale (SocGen) - Securities Class   Action,1,0,0,0,1
"The PMI Group, Inc. - Securities Class   Action",0,0,0,0,1
Darden Restaurants Inc. - Securities Class   Action,1,0,0,0,1
Michael Baker Corporation - Securities Class   Action,1,1,0,0,1
Vertex Pharmaceuticals Incorporated - Securities Class   Action,1,0,0,0,1
Deutsche Bank AG : Auction Rate Securities - Securities Class   Action,1,0,0,1,1
NeuroMetrix Inc. - Securities Class   Action,1,0,0,1,1
The Bear Stearns Companies Inc. - Securities Class   Action,1,1,1,0,1
Nomura Asset Acceptance Corporation : Mortgage Pass-Through Certificates - Securities Class   Action,1,0,0,1,1
The Charles Schwab Corporation : Schwab YieldPlus Funds Investor Shares or Schwab YieldPlus Funds Select Shares - Securities Class   Action,1,1,1,0,1
"WellPoint, Inc. - Securities Class   Action",1,0,0,0,1
TD Ameritrade Holding Corporation : Auction Rate Securities - Securities Class   Action,1,0,0,0,0
Wachovia Corporation : Auction Rate Securities - Securities Class   Action,1,0,0,0,1
UBS AG : Auction Rate Securities - Securities Class   Action,1,0,0,0,1
Citigroup Inc. : Auction Rate Securities - Securities Class   Action,1,1,0,1,1
"Merrill Lynch & Co., Inc. : Auction Rate Securities - Securities Class   Action",1,0,0,1,1
"Morgan Stanley & Co., Inc. : Auction Rate Securities - Securities Class   Action",1,0,1,0,0
"Humana, Inc. - Securities Class   Action",1,0,1,0,1
TETRA Technologies Inc. - Securities Class   Action,1,0,0,0,0
