Title,Dismiss,Settlement,Certification,Appeal,Grant
"BigBand Networks, Inc. - Securities Class   Action",1,1,0,0,1
"Sonic Solutions, Inc. - Securities Class   Action",1,1,0,0,1
LDK Solar Company Ltd. - Securities Class   Action,1,1,1,0,1
"MRT, LLC - Securities Class   Action",0,1,1,0,1
"NutriSystem, Inc. - Securities Class   Action",1,0,0,1,1
Atlas Mining Company - Securities Class   Action,1,1,1,0,1
"Dyadic International, Inc. - Securities Class   Action",1,1,1,0,1
"Bravo! Brands, Inc. - Securities Class   Action",0,0,0,0,0
"Smart Online, Inc. - Securities Class   Action",1,1,0,0,0
"Fuwei Films (Holdings) Company, Ltd. - Securities Class   Action",1,0,0,0,1
"EnergyTec, Inc. - Securities Class   Action",1,0,0,0,1
Aetna Inc. - Securities Class   Action,1,0,0,1,1
"Piedmont Office Realty Trust, Inc. (f/k/a Wells Real Estate Investment Trust, Inc.) - Securities Class   Action",1,0,1,1,1
"WellCare Health Plans, Inc. - Securities Class   Action",1,1,1,0,0
"BankAtlantic Bancorp, Inc. - Securities Class   Action",1,0,1,0,1
Ericsson LM Telephone Company - Securities Class   Action,1,0,0,1,1
Novartis AG - Securities Class   Action,1,0,0,0,0
"CBRE Realty Finance, Inc. - Securities Class   Action",1,0,0,1,1
Countrywide Financial Corporation : Countrywide Series A and Series B Floating Rate Convertible Senior Debentures due 2037 - Securities Class   Action,1,1,1,0,1
"Merrill Lynch & Co., Inc. - Securities Class   Action",1,1,0,0,1
"WSB Financial Group, Inc. - Securities Class   Action",1,1,1,0,1
"FormFactor, Inc. - Securities Class   Action",1,0,0,1,1
"Inland Western Retail Real Estate Trust, Inc. - Securities Class   Action",1,1,0,0,1
"Isilon, Inc. - Securities Class   Action",1,1,0,0,1
"Office Depot, Inc. - Securities Class   Action",1,0,0,1,1
"Washington Mutual, Inc. - Securities Class   Action",1,0,0,0,1
"Citigroup, Inc. - Securities Class   Action",1,1,0,0,1
"CROCS, Inc. - Securities Class   Action",1,0,0,0,1
"Medtronic, Inc. - Securities Class   Action",1,0,0,0,1
Flamel Technologies SA - Securities Class   Action,1,0,1,0,1
"Vodafone Group, PLC - Securities Class   Action",1,0,0,0,1
"FX Energy, Inc. - Securities Class   Action",1,0,0,0,1
Sanofi-Aventis - Securities Class   Action,1,0,0,0,1
"Industrial Enterprises of America, Inc. - Securities Class   Action",0,1,0,0,1
Wyeth - Securities Class   Action,1,0,0,0,1
BP P.L.C. - Securities Class   Action,1,1,0,1,1
Syntax-Brillian Corporation - Securities Class   Action,1,1,1,0,1
"United Rentals, Inc. - Securities Class   Action",1,0,0,1,1
"ACA Capital Holdings, Inc. - Securities Class   Action",1,0,0,0,1
"China Expert Technology, Inc. - Securities Class   Action",1,0,1,0,1
Federal Home Loan Mortgage Corporation (Freddie Mac) - Securities Class   Action,1,0,0,0,1
"Home Solutions Of America, Inc. - Securities Class   Action",1,1,0,0,1
"Pzena Asset Management, Inc. - Securities Class   Action",1,0,0,1,0
"Virgin Mobile USA, Inc. - Securities Class   Action",1,1,0,0,1
"Giant Interactive Group, Inc. - Securities Class   Action",1,0,0,0,0
"Focus Media Holding, Ltd. - Securities Class   Action",1,1,0,1,1
"Leap Wireless International, Inc. - Securities Class   Action",1,1,0,0,1
HomeBanc Corporation - Securities Class   Action,1,0,0,1,1
"VeriFone Holdings, Inc. - Securities Class   Action",1,0,0,0,1
"Genesco, Inc. - Securities Class   Action",1,0,0,0,1
"Morgan Asset Management, Inc. : Regions Morgan Keegan Select Funds - Securities Class   Action",0,0,0,0,1
"Security Capital Assurance, Ltd. - Securities Class   Action",1,0,0,0,1
"Zumiez, Inc. - Securities Class   Action",0,0,0,0,0
Navistar International Corporation - Securities Class   Action,1,1,0,0,1
Smith & Wesson Holding Corporation - Securities Class   Action,1,0,1,0,1
UBS AG  - Securities Class   Action,1,0,0,0,1
"Unico, Inc. - Securities Class   Action",1,0,0,0,1
"Ulta Salon, Cosmetics & Fragrances, Inc. - Securities Class   Action",1,1,1,0,1
Huntington Bancshares Incorporated - Securities Class   Action,1,0,0,0,0
"Basin Water, Inc. - Securities Class   Action",1,0,0,0,0
