Title,Dismiss,Settlement,Certification,Appeal,Grant
Celestica Inc. - Securities Class   Action,1,0,0,1,1
"Sunrise Senior Living, Inc. - Securities Class   Action",1,1,0,0,1
"Powerwave Technologies, Inc. - Securities Class   Action",1,1,1,0,1
"Hornbeck Offshore Services, Inc. - Securities Class   Action",1,0,0,0,1
Alvarion Limited - Securities Class   Action,1,0,0,0,1
Secure Computing Corporation - Securities Class   Action,1,1,1,0,1
Metropolitan Life Insurance Company (MetLife) : State Street Research and/or CDC Nvest Funds and Others - Securities Class   Action,1,0,0,1,1
"Quanta Capital Holdings, Ltd. - Securities Class   Action",1,0,0,0,1
"LG.Philips LCD Co., Ltd. - Securities Class   Action",1,0,0,0,0
"SAC Capital Management, LLC : Fairfax Financial Holdings Limited - Securities Class   Action",1,0,0,0,0
New Century Financial Corporation - Securities Class   Action,1,1,0,0,1
"Globalstar, Inc. - Securities Class   Action",1,1,0,1,1
"Nuvelo, Inc. - Securities Class   Action",1,1,0,0,1
Openwave Systems Inc. - Securities Class   Action,1,1,0,0,1
"NovaStar Financial, Inc. - Securities Class   Action",1,0,0,1,0
Allied Capital Corporation - Securities Class   Action,1,0,0,0,1
"Washington Mutual, Inc. : WM Group of Funds - Securities Class   Action",1,0,0,1,1
"HCC Insurance Holdings, Inc. - Securities Class   Action",0,1,0,0,1
IndyMac Bancorp Inc. - Securities Class   Action,1,0,1,0,1
"OrthoClear Holdings, Inc. - Securities Class   Action",1,1,0,1,1
"Wells Real Estate Investment Trust, Inc. - Securities Class   Action",1,0,1,1,1
"Monster Worldwide, Inc. - Securities Class   Action",1,1,1,0,1
"Wireless Facilities, Inc. - Securities Class   Action",1,1,0,0,1
"WorldSpace, Inc. - Securities Class   Action",1,1,1,0,1
Accredited Home Lenders Holding Company - Securities Class   Action,1,1,1,0,1
RadioShack Corporation - Securities Class   Action,1,0,0,0,0
"Coast Financial Holdings, Inc. - Securities Class   Action",1,1,0,0,1
Metropolitan Life Insurance Company - Securities Class   Action,1,0,1,1,1
Arotech Corporation - Securities Class   Action,1,1,1,0,1
"USANA Health Sciences, Inc. - Securities Class   Action",1,0,0,0,0
Eli Lilly & Company - Securities Class   Action,1,0,0,0,1
"U.S. Auto Parts Network, Inc. - Securities Class   Action",1,1,0,0,0
"Beazer Homes USA, Inc. - Securities Class   Action",1,1,0,0,1
Gaming Partners International Corporation - Securities Class   Action,1,0,0,1,1
"International Coal Group, Inc. - Securities Class   Action",1,0,0,0,0
CheckFree Corporation - Securities Class   Action,1,0,0,0,1
"Choice Hotels International, Inc. - Securities Class   Action",1,0,0,0,1
"Viseon, Inc. - Securities Class   Action",1,1,0,0,1
"Amgen, Inc. - Securities Class   Action",1,0,1,1,1
"Cutera, Inc. - Securities Class   Action",1,0,0,1,1
International Rectifier Corporation - Securities Class   Action,1,1,1,0,1
"Toll Brothers, Inc. - Securities Class   Action",1,1,1,1,1
"Medis Technologies, Ltd. - Securities Class   Action",1,0,0,1,1
"Occam Networks, Inc. - Securities Class   Action",1,1,1,0,0
Allot Communications Ltd. - Securities Class   Action,1,1,0,0,1
Converium Holding AG - Securities Class   Action,1,1,0,0,0
"Inphonic, Inc. - Securities Class   Action",1,0,0,0,1
"Sourcefire, Inc. - Securities Class   Action",1,1,0,0,1
"Netlist, Inc. - Securities Class   Action",1,1,0,0,1
"Optionable, Inc. - Securities Class   Action",1,0,0,0,1
Yahoo! Inc. - Securities Class   Action,1,0,0,0,1
"BKF Capital Group, Inc. - Securities Class   Action",1,0,0,0,1
Xinhua Finance Media Ltd. - Securities Class   Action,1,0,0,0,1
Dendreon Corporation - Securities Class   Action,1,0,1,0,1
Sterling Financial Corporation - Securities Class   Action,1,1,0,0,1
Archstone-Smith Trust - Securities Class   Action,1,1,0,0,0
First Home Builders of Florida - Securities Class   Action,1,1,1,0,1
CDW Corporation - Securities Class   Action,1,1,0,0,0
New York Stock Exchange - Securities Class   Action,1,0,0,0,0
"Shuffle Master, Inc. - Securities Class   Action",1,1,0,0,1
Macy's Inc.  (f/k/a Federated Department Stores Inc.) - Securities Class   Action,1,0,0,0,1
"Telik, Inc. - Securities Class   Action",1,1,0,1,0
GlaxoSmithKline PLC - Securities Class   Action,1,0,0,1,1
Fremont General Corporation - Securities Class   Action,1,0,0,1,1
"Keefe Bruyette & Woods, Inc. : Philadelphia Stock Exchange, Inc. stock - Securities Class   Action",1,0,0,1,1
"Neurocrine Biosciences, Inc. - Securities Class   Action",1,0,0,0,1
Bristol-Myers Squibb Company - Securities Class   Action,1,1,0,0,1
Plexus Corporation - Securities Class   Action,1,0,0,0,1
"American Capital Corporation : American Capital Corporation and Royal Palm Capital Group, Inc. Securities - Securities Class   Action",1,1,1,0,1
"Threshold Pharmaceuticals, Inc. - Securities Class   Action",1,1,0,0,1
Midway Games Inc. - Securities Class   Action,1,0,0,0,1
"Bioenvision, Inc. - Securities Class   Action",1,0,0,1,1
Moody's Corporation - Securities Class   Action,1,1,1,0,1
TXU Corporation - Securities Class   Action,1,1,0,1,0
Greenfield Online Inc. - Securities Class   Action,1,1,0,0,1
GPC Biotech AG - Securities Class   Action,1,0,0,0,1
21st Century Holding Company - Securities Class   Action,1,1,0,0,1
"Himax Technologies, Inc. : American Depository Shares - Securities Class   Action",1,1,0,0,1
American Home Mortgage Investment Corporation - Securities Class   Action,1,1,1,0,1
RAIT Financial Trust - Securities Class   Action,1,1,1,0,1
"Health Management Associates, Inc. - Securities Class   Action",1,0,0,0,1
"Luminent Mortgage Capital, Inc. - Securities Class   Action",1,1,0,0,1
"Motorola, Inc. - Securities Class   Action",1,0,1,0,1
"Qiao Xing Universal Telephone, Inc. - Securities Class   Action",0,1,0,0,0
POZEN Inc. - Securities Class   Action,1,0,0,0,1
Semtech Corporation - Securities Class   Action,1,0,0,0,1
"Limelight Networks, Inc. - Securities Class   Action",1,1,0,0,1
Northwest Biotherapeutics Inc. - Securities Class   Action,0,1,0,0,1
Countrywide Financial Corporation - Securities Class   Action,1,1,1,0,1
Pall Corporation - Securities Class   Action,1,0,1,0,0
Radian Group Inc. - Securities Class   Action,1,0,0,1,1
Standard Pacific Corporation - Securities Class   Action,1,0,0,0,1
"Impac Mortgage Holdings, Inc. - Securities Class   Action",1,0,0,1,1
"ValueClick, Inc. - Securities Class   Action",1,1,1,0,1
Scholastic Corporation - Securities Class   Action,1,0,0,0,0
"Thornburg Mortgage, Inc. - Securities Class   Action",1,0,0,0,1
"Advanced Medical Optics, Inc. - Securities Class   Action",1,0,0,0,0
"Tween Brands, Inc. - Securities Class   Action",0,0,0,0,1
"Heelys, Inc. - Securities Class   Action",1,1,0,0,0
"The McGraw-Hill Companies, Inc. - Securities Class   Action",1,0,0,1,1
Jones Soda Company - Securities Class   Action,1,0,0,0,1
"UTStarcom, Inc. - Securities Class   Action",1,1,1,0,1
China Sunergy Company Limited - Securities Class   Action,1,1,0,0,1
Tarragon Corporation - Securities Class   Action,1,0,0,0,1
LCA-Vision Inc. - Securities Class   Action,1,0,0,0,1
"Hovnanian Enterprises, Inc. - Securities Class   Action",1,1,0,0,1
"Opteum, Inc. - Securities Class   Action",1,1,0,0,1
Care Investment Trust Inc. - Securities Class   Action,1,0,0,0,1
LJ International Inc. - Securities Class   Action,1,1,0,0,0
"NetBank, Inc. - Securities Class   Action",1,1,1,0,1
The Tube Media Corporation - Securities Class   Action,1,1,0,0,1
"ORBCOMM, Inc. - Securities Class   Action",1,1,0,0,0
"The Children's Place Retail Stores, Inc. - Securities Class   Action",1,0,0,0,1
W Holding Company - Securities Class   Action,1,0,0,0,0
"Harman International Industries, Inc. - Securities Class   Action",1,0,0,0,0
E*TRADE Financial Corporation - Securities Class   Action,1,0,0,0,0
Micrus Endovascular Corporation - Securities Class   Action,1,0,0,0,1
