Title,Dismiss,Settlement,Certification,Appeal,Grant
Loudeye Corporation - Securities Class   Action,1,0,0,0,1
"Marvell Technology Group, Ltd. - Securities Class   Action",1,1,0,0,1
"TVIA, Inc. - Securities Class   Action",1,1,0,0,1
"Presstek, Inc. - Securities Class   Action",1,1,1,0,0
"The Shaw Group, Inc. - Securities Class   Action",1,0,1,0,1
"Legg Mason, Inc. - Securities Class   Action",1,0,0,0,0
BP Prudhoe Bay Royalty Trust - Securities Class   Action,1,1,1,0,1
Xethanol Corporation - Securities Class   Action,1,1,1,0,1
"Quest Software, Inc. - Securities Class   Action",1,1,1,0,1
Warner Chilcott Limited - Securities Class   Action,1,1,1,0,0
Apollo Group Inc. - Securities Class   Action,1,0,0,0,1
"Abercrombie & Kent, Inc. - Securities Class   Action",1,0,1,1,1
"Ikanos Communications, Inc. - Securities Class   Action",1,1,0,1,1
Pegasus Wireless Corporation - Securities Class   Action,1,0,0,0,1
"Tier Technologies, Inc. - Securities Class   Action",1,0,1,0,1
"Bodisen Biotech, Inc. - Securities Class   Action",1,0,0,0,1
"Franklin Resources, Inc. : Franklin/Templeton Mutual Funds  - Securities Class   Action",1,0,0,0,1
Brantley Capital Corporation - Securities Class   Action,1,1,0,0,1
Hansen Natural Corporation - Securities Class   Action,1,0,0,0,1
"TOP Tankers, Inc. - Securities Class   Action",1,1,0,0,1
Pfizer Inc. - Securities Class   Action,1,0,0,0,1
"SMART Technologies, Inc. - Securities Class   Action",1,0,0,0,1
"Capital Group Companies, Inc. : American Funds - Securities Class   Action",1,0,0,1,1
"Technical Olympic USA, Inc. - Securities Class   Action",1,0,0,1,1
"AtriCure, Inc. - Securities Class   Action",1,1,0,0,1
Whitney Information Network Incorporated - Securities Class   Action,1,0,0,0,1
